SKU,COLOUR,TYPE,DecorationType,Theme,Processor
OD045008Heart,Silver,Regular Stake,Graphic,,regular_stake_v1
OM008048Copper,Copper,Regular Stake,Photo,,photo_stakes_v1
OD042031Silver,Silver,Regular Stake,Graphic,Pet,regular_stake_v1
M0680Black - Cat,Black,Regular Stake,Photo,,black_photo_stake_v1
M0634GOLDUS2,Gold,Regular Stake,Graphic,,regular_stake_v1
OD042004CA,Silver,Regular Stake,Graphic,Pet,regular_stake_v1
OM009005L Marble,Marble,Large Stake,Photo,,large_photo_stake_v1
M0680Gold - Cat,Gold,Regular Stake,Photo,Pet,photo_stakes_v1
M0680CatPhoto,Silver,Regular Stake,Photo,Pet,photo_stakes_v1
OM008015UK Regular Copper,Copper,Regular Stake,Photo,,photo_stakes_v1
